"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 15, 2020","923.20","929.82","929.82","910.84","-","-0.83%"
"Jun 12, 2020","930.94","907.87","930.94","897.82","-","2.54%"
"Jun 11, 2020","907.84","942.01","942.01","901.11","-","-3.62%"
"Jun 10, 2020","941.92","945.76","957.96","938.10","-","-0.33%"
"Jun 09, 2020","945.08","963.82","967.61","939.79","-","-1.83%"
"Jun 08, 2020","962.71","958.09","967.33","956.97","-","0.54%"
"Jun 05, 2020","957.55","932.18","959.11","932.18","-","2.70%"
"Jun 04, 2020","932.42","927.53","936.64","927.53","-","0.53%"
"Jun 03, 2020","927.53","921.88","930.74","918.85","-","0.62%"
"Jun 02, 2020","921.82","908.98","921.90","908.25","-","1.56%"
"Jun 01, 2020","907.62","896.16","912.93","896.16","-","1.35%"
"May 29, 2020","895.52","901.62","902.11","890.55","-","-0.68%"
"May 28, 2020","901.62","907.29","914.90","895.88","-","-0.61%"
"May 27, 2020","907.14","901.60","917.69","899.88","-","0.66%"
"May 26, 2020","901.15","883.54","902.34","883.54","-","2.17%"
"May 25, 2020","882.00","877.01","882.60","876.08","-","0.57%"
"May 22, 2020","877.01","869.71","880.07","863.05","-","0.84%"
"May 21, 2020","869.69","878.01","878.07","867.57","-","-1.01%"
"May 20, 2020","878.57","871.57","878.59","865.71","-","1.11%"
"May 19, 2020","868.92","878.69","886.53","868.52","-","-1.11%"
"May 18, 2020","878.65","867.44","879.97","867.44","-","1.29%"
"May 15, 2020","867.44","859.50","873.78","858.87","-","0.99%"
